"","GSM1545535_10_6_5_11","GSM1545536_9_6_5_11","GSM1545538_purep53","GSM1545539_JMS8.2","GSM1545540_JMS8.3","GSM1545541_JMS8.4","GSM1545542_JMS8.5","GSM1545544_JMS9.P7c","GSM1545545_JMS9.P8c"
"6651",4606,3984,3127,1739,6943,4992,2940,2920,3605
"6652",23,44,21,10,38,31,6,23,18
"6653",7,103,13,7,63,17,15,28,12
"6654",12210,16700,33339,34420,40464,26561,42834,10485,7425
"6655",8,4,5,8,10,31,23,12,3
"6656",0,0,2,0,2,1,0,1,0
"6657",557,579,529,466,974,1007,742,474,407
"6658",92,277,3704,3565,577,315,2988,176,66
"6659",2314,2667,5479,3865,5859,4571,4732,1788,1401
"6660",890,1072,2631,2073,2471,1928,2119,674,501
"6661",74,60,548,460,76,69,128,16,25
"6662",0,0,1,0,0,0,0,0,0
"6663",0,0,0,0,0,0,0,0,0
"6664",0,0,0,0,0,0,0,0,0
"6665",0,0,0,0,0,0,0,0,0
"6666",1,0,18,12,1,2,13,0,2
"6667",152,125,1840,1697,435,312,1818,44,132
"6668",0,0,0,0,0,0,0,0,0
"6669",0,1,5,2,5,0,9,1,0
"6670",0,0,0,2,0,0,2,0,0
"6671",2481,722,59,39,2321,2820,49,492,2089
"6672",185,125,2291,2674,557,444,2928,52,166
"6673",4,0,6,13,2,4,7,0,0
"6674",0,0,0,0,0,0,0,0,0
"6675",1960,1204,3712,3598,2605,2045,3477,601,886
"6676",0,0,5,0,0,0,0,0,0
"6677",724,871,1789,1799,1758,1256,1747,548,500
"6678",2,2,4,7,7,6,6,1,1
"6679",1119,2823,2863,2366,5732,2744,2215,1720,1003
"6680",684,2235,57010,35780,3684,3388,55112,1263,1352
"6681",1,0,16,4,0,0,2,0,0
"6682",3246,1122,4564,3321,3413,6293,3760,539,1628
"6683",4509,1989,3688,2657,6014,7977,5474,843,1983
"6684",94,52,2562,3037,241,343,3594,59,63
"6685",133,153,1046,843,585,520,1146,103,108
"6686",18,5,59,39,23,43,77,5,6
"6687",0,0,0,0,0,0,0,0,0
"6688",70,132,182,89,145,107,68,31,27
"6689",0,5,0,0,12,4,0,14,2
"6690",668,626,4051,2991,1367,1045,4100,496,522
"6691",0,0,0,0,0,0,0,1,0
"6692",90,408,15674,8598,682,638,12255,177,159
"6693",0,0,0,0,0,0,0,0,0
"6694",0,0,16,11,4,3,15,1,0
"6695",0,0,0,0,0,0,0,0,0
"6696",778,919,2249,1685,1966,1432,1929,611,598
"6697",0,0,0,0,0,0,0,0,0
"6698",7,30,26,34,14,68,30,4,26
"6699",1445,2135,4365,5034,4665,2720,4542,1150,872
"6700",1797,2254,5102,4017,5252,4340,5022,1703,1299
"6701",1513,1378,2213,1672,2256,2247,2313,1377,1336
"6702",163,133,177,80,219,228,158,190,183
"6703",0,3,14,18,14,9,19,4,1
"6704",145,178,471,419,618,414,314,91,107
"6705",59,30,58,70,123,126,41,27,30
"6706",0,0,0,0,0,1,0,0,0
"6707",2278,3073,8948,5243,6183,3835,4781,3951,1954
"6708",58,17,99,92,108,110,78,26,40
"6709",4289,2165,9601,8461,6600,8131,7579,1791,2772
"6710",271,124,688,249,200,237,252,64,75
"6711",0,0,0,0,0,0,0,0,0
"6712",0,0,0,0,0,0,0,0,0
"6713",0,0,1,0,0,0,2,0,0
"6714",0,0,0,0,0,0,0,0,0
"6715",55,52,117,51,102,91,97,25,22
"6716",125,116,236,164,213,140,137,52,58
"6717",145,164,272,281,381,260,205,104,92
"6718",78,71,152,70,152,120,138,36,28
"6719",0,0,0,0,0,0,0,0,0
"6720",0,0,0,0,0,0,0,0,0
"6721",0,0,0,0,0,0,0,0,0
"6722",0,0,0,0,0,0,0,0,0
"6723",0,0,0,0,1,0,0,0,0
"6724",0,0,0,0,0,0,0,0,0
"6725",0,0,0,0,0,0,0,0,0
"6726",2,7,109,70,11,12,169,9,3
"6727",83,98,160,98,166,85,88,32,36
"6728",0,0,0,0,0,0,0,0,0
"6729",0,0,1,1,0,0,0,0,0
"6730",0,0,0,0,0,0,0,0,0
"6731",0,0,0,0,1,0,1,0,0
"6732",0,0,0,0,0,0,0,0,0
"6733",0,0,0,0,0,0,0,0,0
"6734",0,0,5,0,0,0,0,0,0
"6735",0,0,0,0,0,0,0,0,0
"6736",0,0,0,0,0,0,0,0,0
"6737",0,0,0,0,0,0,0,0,0
"6738",0,0,0,1,0,0,0,0,0
"6739",1,0,2,1,0,0,2,0,0
"6740",0,0,0,0,0,0,0,0,0
"6741",0,0,20,14,3,0,19,1,0
"6742",1,0,5,1,0,0,3,0,0
"6743",6,6,110,92,8,18,172,10,2
"6744",0,0,0,0,0,0,0,0,0
"6745",1,1,28,9,2,1,18,0,0
"6746",0,0,1,0,0,0,0,0,0
"6747",0,0,8,10,0,0,11,0,0
"6748",0,0,0,0,0,0,0,0,0
"6749",0,0,1,0,0,1,0,0,0
"6750",3,6,67,45,10,2,72,3,4
"6751",0,0,1,0,0,0,1,0,0
"6752",0,0,0,0,0,0,0,0,0
"6753",5,3,91,73,17,7,169,3,5
"6754",0,0,0,0,0,0,0,0,0
